,BGL,FREQ,S11,S11_Scaled,S11_Derivative,S11_Mean,S11_Std,S11_Min,S11_Max
0,100,0.015,-7.396269724,0.8425707780774897,,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10003,100,0.0224999995,-7.397663885,0.8425379058155453,,,,,
1,100,0.029999999,-7.399058046,0.8425050335536011,-0.18588814572592144,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10004,100,0.0375000005,-7.4013383025,0.8424512684655171,-0.2449611503359288,,,,
2,100,0.045000002,-7.403618559,0.8423975033774331,-0.3040341391931381,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10005,100,0.0525000005,-7.4067215925,0.8423243384201334,-0.35888600000001014,,,,
3,100,0.059999999,-7.409824626,0.8422511734628336,-0.4137378827475716,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10006,100,0.067500001,-7.4136590825,0.8421607626290188,-0.46249931791665155,,,,
4,100,0.075000003,-7.417493539,0.8420703517952041,-0.5112607303304608,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10007,100,0.0825000035,-7.4219441595,0.8419654127222486,-0.5523383746102729,,,,
5,100,0.090000004,-7.42639478,0.8418604736492931,-0.5934160271056134,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10008,100,0.09750000049999999,-7.431321226,0.841744315312224,-0.6251378916942402,,,,
6,100,0.104999997,-7.436247672,0.8416281569751549,-0.6568597732012608,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10009,100,0.11249999699999999,-7.4414834135,0.8415047059059738,-0.6774793247452184,,,,
7,100,0.119999997,-7.446719155,0.8413812548367926,-0.6980988666666595,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10010,100,0.127500001,-7.4520755045,0.8412549600086994,-0.7061392116961744,,,,
8,100,0.135000005,-7.457431854,0.8411286651806061,-0.7141795524375674,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10011,100,0.1425000055,-7.4626953315,0.8410045601374168,-0.7079882542702034,,,,
9,100,0.150000006,-7.467958809,0.8408804550942274,-0.7017969532135079,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10012,100,0.1575000065,-7.4728952515,0.8407640610544191,-0.6799946213336785,,,,
10,100,0.165000007,-7.477831694,0.840647667014611,-0.6581922894538503,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10013,100,0.172500007,-7.482187654500001,0.8405449598849645,-0.6194935126836018,,,,
11,100,0.180000007,-7.486543615,0.8404422527553179,-0.5807947333333754,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10014,100,0.1875,-7.49004781,0.8403596290009998,-0.5240106112049204,,,,
12,100,0.194999993,-7.493552005,0.8402770052466817,-0.4672264360779603,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10015,100,0.202499993,-7.4959191305,0.8402211919155879,-0.39142154933004547,,,,
