FREQ,S11
0,-18.65132966
0.015,-18.60548801
0.029999999,-18.47043198
0.045000002,-18.25319147
0.059999999,-17.96433896
0.075000003,-17.61662484
0.090000004,-17.22362418
0.104999997,-16.79863594
0.119999997,-16.35390911
0.135000005,-15.90022526
0.150000006,-15.44672897
0.165000007,-15.00093884
0.180000007,-14.56884562
0.194999993,-14.15506035
0.209999993,-13.76296328
0.224999994,-13.39484076
0.239999995,-13.05199781
0.254999995,-12.7348465
0.270000011,-12.44296381
0.284999996,-12.17513315
0.300000012,-11.92935887
0.314999998,-11.70288381
0.330000013,-11.49220574
0.344999999,-11.29310508
0.360000014,-11.10072545
0.375,-10.90969975
0.389999986,-10.71435952
0.405000001,-10.50902673
0.419999987,-10.28838642
0.435000002,-10.04790585
0.449999988,-9.784246702
0.465000004,-9.495589301
0.479999989,-9.181827766
0.495000005,-8.844567645
0.50999999,-8.486937577
0.524999976,-8.113259989
0.540000021,-7.728637302
0.555000007,-7.338523241
0.569999993,-6.948361892
0.584999979,-6.563285569
0.600000024,-6.187927045
0.61500001,-5.826306734
0.629999995,-5.48179532
0.644999981,-5.157126753
0.660000026,-4.854440047
0.675000012,-4.575345063
0.689999998,-4.320991401
0.704999983,-4.092134822
0.720000029,-3.889209793
0.735000014,-3.712386449
0.75,-3.561615069
0.764999986,-3.436670158
0.779999971,-3.337179563
0.795000017,-3.262649629
0.810000002,-3.212463435
0.824999988,-3.185896313
0.839999974,-3.182092687
0.855000019,-3.200055993
0.870000005,-3.238616475
0.88499999,-3.296398087
0.899999976,-3.37177133
0.915000021,-3.462811756
0.930000007,-3.567252426
0.944999993,-3.682447226
0.959999979,-3.805348568
0.975000024,-3.93250725
0.99000001,-4.060118248
1.004999995,-4.184108672
1.019999981,-4.300281096
1.034999967,-4.404520282
1.049999952,-4.493043741
1.065000057,-4.562661452
1.080000043,-4.611038254
1.095000029,-4.636895809
1.110000014,-4.640117399
1.125,-4.62174893
1.139999986,-4.583886263
1.154999971,-4.529476212
1.169999957,-4.462058587
1.184999943,-4.385505166
1.200000048,-4.303771973
1.215000033,-4.220707695
1.230000019,-4.139896076
1.245000005,-4.064585355
1.25999999,-3.99762335
1.274999976,-3.941467424
1.289999962,-3.898180502
1.304999948,-3.869472208
1.320000052,-3.856726051
1.335000038,-3.861030777
1.350000024,-3.883223757
1.36500001,-3.923893412
1.379999995,-3.983414944
1.394999981,-4.061950638
1.409999967,-4.159456963
1.424999952,-4.275675547
1.440000057,-4.410131296
1.455000043,-4.562113453
1.470000029,-4.730664335
1.485000014,-4.914563703
1.5,-5.11231175
1.514999986,-5.3221161
1.529999971,-5.541894105
1.544999957,-5.76926276
1.559999943,-6.00156954
1.575000048,-6.235905329
1.590000033,-6.469156959
1.605000019,-6.698069143
1.620000005,-6.919316278
1.63499999,-7.129600981
1.649999976,-7.325756211
1.664999962,-7.504852329
1.679999948,-7.664299973
1.695000052,-7.801943431
1.710000038,-7.916126881
1.725000024,-8.005743597
1.74000001,-8.070240445
1.754999995,-8.109610235
1.769999981,-8.124353102
1.784999967,-8.115408448
1.799999952,-8.084093265
1.815000057,-8.032025678
1.830000043,-7.961047373
1.845000029,-7.87315276
1.860000014,-7.770428831
1.875,-7.654994842
1.889999986,-7.528952904
