FREQ,S11
0,-18.90145593
0.015,-18.85944604
0.029999999,-18.73541119
0.045000002,-18.53506815
0.059999999,-18.26713912
0.075000003,-17.94237638
0.090000004,-17.57251096
0.104999997,-17.16934619
0.119999997,-16.74405753
0.135000005,-16.30673915
0.150000006,-15.8661665
0.165000007,-15.42970342
0.180000007,-15.00332849
0.194999993,-14.59171505
0.209999993,-14.19833066
0.224999994,-13.82555347
0.239999995,-13.47476306
0.254999995,-13.14642765
0.270000011,-12.84017046
0.284999996,-12.55481519
0.300000012,-12.28843445
0.314999998,-12.03838429
0.330000013,-11.8013554
0.344999999,-11.57344556
0.360000014,-11.35026713
0.375,-11.1271093
0.389999986,-10.89915504
0.405000001,-10.66176221
0.419999987,-10.41077324
0.435000002,-10.14284926
0.449999988,-9.855750738
0.465000004,-9.548546932
0.479999989,-9.221699077
0.495000005,-8.87699556
0.50999999,-8.517374883
0.524999976,-8.146638443
0.540000021,-7.769134818
0.555000007,-7.389440374
0.569999993,-7.012081093
0.584999979,-6.641318625
0.600000024,-6.28100172
0.61500001,-5.934486471
0.629999995,-5.604597127
0.644999981,-5.293633626
0.660000026,-5.003403937
0.675000012,-4.735266546
0.689999998,-4.490185676
0.704999983,-4.26877742
0.720000029,-4.071368766
0.735000014,-3.898044914
0.75,-3.748674376
0.764999986,-3.622953519
0.779999971,-3.520425156
0.795000017,-3.440494483
0.810000002,-3.382436085
0.824999988,-3.345399275
0.839999974,-3.328391915
0.855000019,-3.330277849
0.870000005,-3.349752652
0.88499999,-3.385327136
0.899999976,-3.435299884
0.915000021,-3.49774382
0.930000007,-3.570487336
0.944999993,-3.651119712
0.959999979,-3.73699627
0.975000024,-3.825283359
0.99000001,-3.913020726
1.004999995,-3.997212856
1.019999981,-4.074951971
1.034999967,-4.143559724
1.049999952,-4.200740785
1.065000057,-4.244727601
1.080000043,-4.274396789
1.095000029,-4.289349936
1.110000014,-4.289931868
1.125,-4.277198737
1.139999986,-4.252821553
1.154999971,-4.218972924
1.169999957,-4.178167604
1.184999943,-4.13311668
1.200000048,-4.086593988
1.215000033,-4.04131689
1.230000019,-3.999857554
1.245000005,-3.96458455
1.25999999,-3.937632148
1.274999976,-3.920868219
1.289999962,-3.915905123
1.304999948,-3.924102896
1.320000052,-3.946571079
1.335000038,-3.984194383
1.350000024,-4.037633896
1.36500001,-4.107336092
1.379999995,-4.19354222
1.394999981,-4.296285959
1.409999967,-4.41539276
1.424999952,-4.550469346
1.440000057,-4.700904598
1.455000043,-4.865851175
1.470000029,-5.044220424
1.485000014,-5.234677839
1.5,-5.435642086
1.514999986,-5.645274819
1.529999971,-5.861505829
1.544999957,-6.082043464
1.559999943,-6.304404467
1.575000048,-6.525956483
1.590000033,-6.743972849
1.605000019,-6.955692256
1.620000005,-7.158390244
1.63499999,-7.349455191
1.649999976,-7.526468112
1.664999962,-7.68726982
1.679999948,-7.83001865
1.695000052,-7.953243464
1.710000038,-8.055868735
1.725000024,-8.13722323
1.74000001,-8.197032967
1.754999995,-8.235402803
1.769999981,-8.252782685
1.784999967,-8.249925232
1.799999952,-8.227841159
1.815000057,-8.187762827
1.830000043,-8.13109028
1.845000029,-8.059353392
1.860000014,-7.974166319
1.875,-7.877196402
1.889999986,-7.770117238
1.904999971,-7.654582479
1.919999957,-7.532187083
1.934999943,-7.404445282
1.950000048,-7.272765119
1.965000033,-7.138429178
1.980000019,-7.002580765
1.995000005,-6.866223741
2.00999999,-6.730213267
2.025000095,-6.59526068
2.039999962,-6.461949628
2.055000067,-6.330742666
2.069999933,-6.201997239
2.085000038,-6.075985504
2.099999905,-5.952912391
2.11500001,-5.832942975
2.130000114,-5.716207492
2.144999981,-5.602834335
2.160000086,-5.492957177
2.174999952,-5.386729617
2.190000057,-5.284338645
2.204999924,-5.186008193
2.220000029,-5.092002441
2.234999895,-5.002633393
2.25,-4.918244818
2.265000105,-4.839220399
2.279999971,-4.765964683
2.295000076,-4.698903962
2.309999943,-4.638470703
2.325000048,-4.585090926
2.339999914,-4.539178587
2.355000019,-4.501125321
2.369999886,-4.471288089
2.38499999,-4.44998255
2.400000095,-4.437473095
2.414999962,-4.433973844
2.430000067,-4.439636161
2.444999933,-4.454547337
2.460000038,-4.478727865
2.474999905,-4.512130832
2.49000001,-4.554639212
2.505000114,-4.60606657
2.519999981,-4.66616015
2.535000086,-4.734602226
2.549999952,-4.811017771
2.565000057,-4.894980858
2.579999924,-4.98601315
2.595000029,-5.083611793
2.609999895,-5.187247457
2.625,-5.29637996
2.640000105,-5.410481157
2.654999971,-5.52904348
2.670000076,-5.651596661
2.684999943,-5.777724118
2.700000048,-5.907078958
2.714999914,-6.039389979
2.730000019,-6.174472631
2.744999886,-6.312229375
2.75999999,-6.45264811
2.775000095,-6.595796074
2.789999962,-6.741804665
2.805000067,-6.890852783
2.819999933,-7.043143667
2.835000038,-7.198881301
2.849999905,-7.358243257
2.86500001,-7.521342461
2.880000114,-7.688210482
2.894999981,-7.858758187
2.910000086,-8.032752579
2.924999952,-8.209796565
2.940000057,-8.389311652
2.954999924,-8.570527755
2.970000029,-8.752488348
2.984999895,-8.934058814
3,-9.113949339
3.015000105,-9.2907658
3.029999971,-9.463052287
3.045000076,-9.629362623
3.059999943,-9.788335653
3.075000048,-9.938776617
3.089999914,-10.0797312
3.105000019,-10.21055097
3.119999886,-10.33094754
3.13499999,-10.44101628
3.150000095,-10.54123295
3.164999962,-10.63242343
3.180000067,-10.71571556
3.194999933,-10.79246238
3.210000038,-10.86415603
3.224999905,-10.93234373
3.24000001,-10.99853753
3.255000114,-11.06413526
3.269999981,-11.130354
3.285000086,-11.19817353
3.299999952,-11.26829372
3.315000057,-11.34110879
3.329999924,-11.41669635
3.345000029,-11.49481245
3.359999895,-11.57490909
3.375,-11.65615595
3.390000105,-11.73748943
3.404999971,-11.81766722
3.420000076,-11.89532378
3.434999943,-11.96907034
3.450000048,-12.03756139
3.464999914,-12.09960089
3.480000019,-12.15421318
3.494999886,-12.20072566
3.50999999,-12.23881522
3.525000095,-12.26854152
3.539999962,-12.29035643
3.555000067,-12.3050687
3.569999933,-12.31381025
3.585000038,-12.31796323
3.599999905,-12.31908976
3.61500001,-12.3188587
3.630000114,-12.31896241
3.644999981,-12.32106142
3.660000086,-12.32672681
3.674999952,-12.33739921
3.690000057,-12.35435885
3.704999924,-12.37871908
3.720000029,-12.41141338
3.734999895,-12.45320464
3.75,-12.50469722
3.765000105,-12.56636004
3.779999971,-12.63854308
3.795000076,-12.72151338
3.809999943,-12.81547709
3.825000048,-12.92062657
3.839999914,-13.03716156
3.855000019,-13.16533302
3.869999886,-13.30547122
3.88499999,-13.45803159
3.900000095,-13.62361545
3.914999962,-13.80300853
3.930000067,-13.99720907
3.944999933,-14.20745285
3.960000038,-14.43524614
3.974999905,-14.68238226
3.99000001,-14.95097969
4.005000114,-15.24351585
4.019999981,-15.56285695
4.034999847,-15.91232901
4.050000191,-16.29577689
4.065000057,-16.7176748
4.079999924,-17.18325181
4.09499979,-17.69868587
4.110000134,-18.27134484
4.125,-18.9101461
4.139999866,-19.62602229
4.15500021,-20.43255913
4.170000076,-21.34682824
4.184999943,-22.39035592
4.199999809,-23.5898608
4.215000153,-24.97617863
4.230000019,-26.57551417
4.244999886,-28.37220447
4.260000229,-30.18182403
4.275000095,-31.3921013
4.289999962,-31.16458885
4.304999828,-29.65474358
4.320000172,-27.73900916
4.335000038,-25.90748016
4.349999905,-24.28451552
4.364999771,-22.86914892
4.380000114,-21.63232322
4.394999981,-20.54387689
4.409999847,-19.57845524
4.425000191,-18.71587212
4.440000057,-17.94025548
4.454999924,-17.23908847
4.46999979,-16.60243322
4.485000134,-16.02232577
4.5,-15.49232437
4.514999866,-15.00717581
4.53000021,-14.56257284
4.545000076,-14.15495153
4.559999943,-13.78135596
4.574999809,-13.43932003
4.590000153,-13.12678277
4.605000019,-12.84200287
4.619999886,-12.58351422
4.635000229,-12.35006943
4.650000095,-12.14060262
4.664999962,-11.954191
4.679999828,-11.79003481
4.695000172,-11.64742282
4.710000038,-11.52572022
4.724999905,-11.42434433
4.739999771,-11.34275548
4.755000114,-11.28044216
4.769999981,-11.2369119
4.784999847,-11.21168346
4.800000191,-11.20427928
4.815000057,-11.21423131
4.829999924,-11.24106979
4.84499979,-11.28433261
4.860000134,-11.34356796
4.875,-11.41833959
4.889999866,-11.50824319
4.90500021,-11.61291058
4.920000076,-11.73203245
4.934999943,-11.86537236
4.949999809,-12.01278056
4.965000153,-12.17421463
4.980000019,-12.34975534
4.994999886,-12.53961389
5.010000229,-12.74413677
5.025000095,-12.96380309
5.039999962,-13.19920133
5.054999828,-13.45099323
5.070000172,-13.71984941
5.085000038,-14.00634173
5.099999905,-14.3108014
5.114999771,-14.63309102
5.130000114,-14.97229765
5.144999981,-15.32629515
5.159999847,-15.69116385
5.175000191,-16.06044411
5.190000057,-16.4242552
5.204999924,-16.76844018
5.21999979,-17.07404065
5.235000134,-17.31769753
5.25,-17.47366225
5.264999866,-17.51782256
5.28000021,-17.43308227
5.295000076,-17.21414027
5.309999943,-16.8692241
5.324999809,-16.41779347
5.340000153,-15.88551387
5.355000019,-15.29896909
5.369999886,-14.68189643
5.385000229,-14.05344788
5.400000095,-13.42794673
5.414999962,-12.81546923
5.429999828,-12.22271477
5.445000172,-11.65384994
5.460000038,-11.11121793
5.474999905,-10.59588074
5.489999771,-10.10802754
5.505000114,-9.647253175
5.519999981,-9.212765612
5.534999847,-8.803524719
5.550000191,-8.418337934
5.565000057,-8.055930398
5.579999924,-7.714989823
5.59499979,-7.394200991
5.610000134,-7.092272131
5.625,-6.807945857
5.639999866,-6.540018031
5.65500021,-6.28734648
5.670000076,-6.048853335
5.684999943,-5.823535246
5.699999809,-5.610462863
5.715000153,-5.408788567
5.730000019,-5.217739522
5.744999886,-5.036625644
5.760000229,-4.8648258
5.775000095,-4.701795299
5.789999962,-4.547055615
5.804999828,-4.400190395
5.820000172,-4.260831589
5.835000038,-4.128663779
5.849999905,-4.003408787
5.864999771,-3.884814614
5.880000114,-3.77265228
5.894999981,-3.666707718
5.909999847,-3.566771113
5.925000191,-3.472629736
5.940000057,-3.384066607
5.954999924,-3.300850487
5.96999979,-3.222736685
5.985000134,-3.149462947
6,-3.080747608
6.014999866,-3.016295731
6.03000021,-2.955791361
6.045000076,-2.898909094
6.059999943,-2.845318296
6.074999809,-2.794682742
6.090000153,-2.746673333
6.105000019,-2.700968068
6.119999886,-2.657266789
6.135000229,-2.615288464
6.150000095,-2.574786588
6.164999962,-2.53554431
6.179999828,-2.497385507
6.195000172,-2.460175048
6.210000038,-2.423821518
6.224999905,-2.388268472
6.239999771,-2.353500692
6.255000114,-2.319538694
6.269999981,-2.286426381
6.284999847,-2.254233807
6.300000191,-2.223040894
6.315000057,-2.192938445
6.329999924,-2.164014579
6.34499979,-2.136347369
6.360000134,-2.110002502
6.375,-2.085022856
6.389999866,-2.061427641
6.40500021,-2.03920612
6.420000076,-2.018318779
6.434999943,-1.998696866
6.449999809,-1.980243008
6.465000153,-1.962834432
6.480000019,-1.946328706
6.494999886,-1.930565141
6.510000229,-1.915382115
6.525000095,-1.900611532
6.539999962,-1.886092401
6.554999828,-1.87167708
6.570000172,-1.857241493
6.585000038,-1.842683481
6.599999905,-1.827934078
6.614999771,-1.812958646
6.630000114,-1.797753886
6.644999981,-1.782356426
6.659999847,-1.76683064
6.675000191,-1.75127337
6.690000057,-1.735802953
6.704999924,-1.72055385
6.71999979,-1.705671222
6.735000134,-1.691303482
6.75,-1.677593179
6.764999866,-1.664668938
6.78000021,-1.652640993
6.795000076,-1.641592164
6.809999943,-1.631579589
6.824999809,-1.622624902
6.840000153,-1.614716629
