iter	Passed	Remaining
0	61	92602
1	62	46772
2	62	31434
3	63	23778
4	64	19222
5	64	16177
6	65	13988
7	66	12326
8	66	11032
9	67	10011
10	67	9187
11	68	8484
12	68	7885
13	69	7369
14	69	6924
15	70	6544
16	71	6203
17	71	5899
18	72	5625
19	72	5377
20	73	5153
21	73	4952
22	74	4764
23	74	4592
24	75	4438
25	75	4301
26	76	4167
27	76	4045
28	77	3939
29	78	3831
30	78	3732
31	79	3639
32	79	3548
33	80	3467
34	80	3387
35	81	3317
36	82	3246
37	82	3178
38	83	3112
39	83	3051
40	84	3000
41	84	2943
42	85	2890
43	85	2838
44	86	2788
45	86	2741
46	87	2698
47	87	2655
48	88	2613
49	88	2576
50	89	2539
51	89	2502
52	90	2465
53	90	2432
54	91	2398
55	91	2367
56	92	2337
57	92	2308
58	93	2280
59	93	2255
60	94	2228
61	94	2202
62	95	2177
63	95	2152
64	96	2129
65	97	2108
66	97	2085
67	98	2063
68	98	2042
69	99	2024
70	99	2004
71	100	1985
72	100	1966
73	101	1947
74	101	1929
75	102	1912
76	102	1894
77	103	1878
78	103	1861
79	104	1846
80	104	1830
81	104	1815
82	105	1800
83	105	1786
84	106	1771
85	106	1757
86	107	1744
87	107	1730
88	108	1718
89	108	1706
90	109	1693
91	109	1681
92	110	1670
93	110	1658
94	111	1648
95	111	1637
96	112	1627
97	112	1616
98	113	1606
99	113	1595
100	114	1584
101	114	1576
102	115	1566
103	115	1556
104	116	1548
105	117	1538
106	117	1529
107	118	1521
108	118	1512
109	118	1503
110	119	1494
111	119	1486
112	120	1478
113	120	1470
114	121	1462
115	121	1454
116	122	1446
117	122	1440
118	123	1432
119	123	1424
120	124	1418
121	124	1411
122	125	1406
123	126	1399
124	126	1392
125	127	1386
126	127	1379
127	128	1374
128	128	1367
129	129	1361
130	129	1355
131	130	1349
132	130	1342
133	131	1336
134	131	1330
135	132	1325
136	132	1319
137	133	1313
138	133	1308
139	134	1302
140	134	1297
141	135	1293
142	135	1288
143	136	1283
144	136	1278
145	137	1273
146	137	1268
147	138	1262
148	138	1258
149	139	1254
150	139	1249
151	140	1244
152	140	1240
153	141	1236
154	141	1231
155	142	1228
156	143	1224
