Frequency,S_Parameter,BGL,S11(Linear)
1,-3.693751026,80,0.4271937571
1.003999949,-3.755708886,80,0.4211425393
1.008000016,-3.819680686,80,0.4149845532
1.011999965,-3.88571223,80,0.4087227174
1.016000032,-3.953869167,80,0.40235841
1.019999981,-4.024244033,80,0.3958909708
1.024000049,-4.096952325,80,0.3893182545
1.027999997,-4.172146451,80,0.3826355833
1.031999946,-4.250001244,80,0.3758372967
1.036000013,-4.330726776,80,0.3689158567
1.039999962,-4.414554383,80,0.3618633186
1.04400003,-4.501737615,80,0.3546714566
1.047999978,-4.592540481,80,0.3473329236
1.052000046,-4.687241927,80,0.3398410269
1.055999994,-4.786120055,80,0.3321911014
1.059999943,-4.889450239,80,0.3243806772
1.06400001,-4.997502995,80,0.3164096355
1.067999959,-5.110539016,80,0.308280531
1.072000027,-5.228809208,80,0.2999984972
1.075999975,-5.352556197,80,0.2915710362
1.080000043,-5.482018094,80,0.2830076601
1.083999991,-5.617432537,80,0.2743195415
1.088000059,-5.759045822,80,0.2655188863
1.092000008,-5.907116307,80,0.2566187406
1.095999956,-6.061927695,80,0.2476322653
1.100000024,-6.223789102,80,0.238572889
1.103999972,-6.39304962,80,0.2294536856
1.10800004,-6.570092852,80,0.2202879365
1.111999989,-6.755339185,80,0.2110892328
1.116000056,-6.949238666,80,0.2018720222
1.120000005,-7.152260132,80,0.1926522062
1.123999953,-7.364870676,80,0.1834479793
1.128000021,-7.587502013,80,0.1742809019
1.131999969,-7.82052106,80,0.165176361
1.136000037,-8.064162467,80,0.1561650172
1.139999986,-8.318474208,80,0.1472829856
1.144000053,-8.583218851,80,0.1385728391
1.148000002,-8.857773826,80,0.130083621
1.15199995,-9.140987883,80,0.1218712349
1.156000018,-9.43102044,80,0.11399819
1.159999967,-9.725153118,80,0.1065331303
1.164000034,-10.01956873,80,0.099550427
1.167999983,-10.30913805,80,0.09312926923
1.172000051,-10.58722746,80,0.0873528853
1.175999999,-10.84560603,80,0.08230749735
1.179999948,-11.07452744,80,0.07808133966
1.184000015,-11.26308891,80,0.07476375566
1.187999964,-11.39996495,80,0.07244418073
1.192000031,-11.4745182,80,0.07121117962
1.19599998,-11.47815687,80,0.07115154137
1.200000048,-11.40566139,80,0.07234922132
1.203999996,-11.25610199,80,0.07488413218
1.207999945,-11.03303514,80,0.07883090029
1.212000012,-10.74393252,80,0.08425714674
1.215999961,-10.39901909,80,0.09122168528
1.220000029,-10.00989982,80,0.09977230787
1.223999977,-9.588298817,80,0.1099436417
1.228000045,-9.145156552,80,0.1217543103
1.231999993,-8.69006657,80,0.1352051838
1.235999942,-8.231090764,80,0.1502764488
1.24000001,-7.774740886,80,0.1669267398
1.243999958,-7.326133287,80,0.1850915836
1.248000026,-6.889177481,80,0.2046832254
1.251999974,-6.466769157,80,0.225591683
1.256000042,-6.060979425,80,0.247686341
1.25999999,-5.673220681,80,0.2708182528
1.264000058,-5.304373892,80,0.2948238484
1.268000007,-4.954893485,80,0.3195292732
1.271999955,-4.6249066,80,0.3447540208
1.276000023,-4.314275271,80,0.3703159967
1.279999971,-4.02265683,80,0.3960356822
1.284000039,-3.749551961,80,0.4217400099
1.287999988,-3.494344457,80,0.447265659
1.292000055,-3.256331017,80,0.4724620155
1.296000004,-3.034750107,80,0.4971929814
