iter	Passed	Remaining
0	0	70
1	0	69
2	0	68
3	0	64
4	0	65
5	0	64
6	0	63
7	0	63
8	0	63
9	1	62
10	1	62
11	1	62
12	1	62
13	1	61
14	1	61
15	1	61
16	1	61
17	1	61
18	1	60
19	2	61
20	2	61
21	2	61
22	2	61
23	2	61
24	2	60
25	2	60
26	2	60
27	2	60
28	3	60
29	3	60
30	3	60
31	3	59
32	3	59
33	4	71
34	4	71
35	4	70
36	4	70
37	4	70
38	4	70
39	4	69
40	5	69
41	5	68
42	5	68
43	5	68
44	5	67
45	5	67
46	5	67
47	5	67
48	5	66
49	6	66
50	6	66
51	6	65
52	6	65
53	6	65
54	6	65
55	6	64
56	6	64
57	6	64
58	6	64
59	7	64
60	7	63
61	7	63
62	7	63
63	7	63
64	7	62
65	7	62
66	7	62
67	7	62
68	8	61
69	8	61
70	8	61
71	8	61
72	8	61
73	8	61
74	8	60
75	8	60
76	8	60
77	9	60
78	9	60
79	9	59
80	9	59
81	9	59
82	9	59
83	9	59
84	9	59
85	9	59
86	9	58
87	10	58
88	10	58
89	10	58
90	10	58
91	10	58
92	10	58
93	10	58
94	10	58
95	11	57
96	11	57
97	11	57
98	11	57
99	11	57
100	11	56
101	11	56
102	11	56
103	11	56
104	11	56
105	12	55
106	12	55
107	12	55
108	12	55
109	12	55
110	12	55
111	12	55
112	12	54
113	12	54
114	12	54
115	13	54
116	13	54
117	13	54
118	13	53
119	13	53
120	13	54
121	13	53
122	13	54
123	14	54
124	14	54
125	14	54
126	14	54
127	14	54
128	15	54
129	15	54
130	15	54
131	15	54
132	15	54
133	15	55
134	16	55
135	16	55
136	16	55
137	16	55
138	16	55
139	16	55
140	16	55
141	17	55
142	17	55
143	17	54
144	17	54
145	17	55
146	17	54
147	17	54
148	18	54
149	18	54
150	18	54
151	18	54
152	18	54
153	18	54
154	18	54
155	19	54
156	19	54
157	19	54
158	19	54
159	19	54
160	19	54
161	19	53
162	20	53
163	20	53
164	20	53
165	20	53
166	20	53
167	20	53
168	20	53
169	21	53
170	21	53
171	21	53
172	21	53
173	21	53
174	21	52
175	21	52
176	22	52
177	22	52
178	22	52
179	22	52
180	22	52
181	22	51
182	22	51
183	22	51
184	22	51
185	23	51
186	23	51
187	23	50
188	23	50
189	23	50
190	23	50
191	23	50
192	23	50
193	23	49
194	23	49
195	24	49
196	24	49
197	24	49
198	24	49
199	24	49
200	24	48
201	24	48
202	24	48
203	24	48
204	25	48
205	25	48
206	25	47
207	25	47
208	25	47
209	25	47
210	25	47
211	25	47
212	25	47
213	26	46
214	26	46
215	26	46
216	26	46
217	26	46
218	26	46
219	26	46
220	26	45
221	26	45
222	26	45
223	27	45
224	27	45
225	27	45
226	27	44
227	27	44
228	27	44
229	27	44
230	27	44
231	27	44
232	27	44
233	28	43
234	28	43
235	28	43
236	28	43
237	28	43
238	28	43
239	28	43
240	28	42
241	28	42
242	28	42
243	29	42
244	29	42
245	29	42
246	29	42
247	29	41
248	29	41
249	29	41
250	29	41
251	30	41
252	30	41
253	30	41
254	30	41
255	30	41
256	30	41
257	30	40
258	30	40
259	31	40
260	31	40
261	31	40
262	31	40
263	31	40
264	31	39
265	31	39
266	31	39
267	31	39
268	32	39
269	32	39
270	32	39
271	32	38
272	32	38
273	32	38
274	32	38
275	32	38
276	32	38
277	32	38
278	33	38
279	33	37
280	33	37
281	33	37
282	33	37
283	33	37
284	33	37
285	33	37
286	33	36
287	33	36
288	34	36
289	34	36
290	34	36
291	34	36
292	34	36
293	34	35
294	34	35
295	34	35
296	34	35
297	34	35
298	35	35
299	35	35
300	35	35
301	35	34
302	35	34
303	35	34
304	35	34
305	35	34
306	35	34
307	35	34
308	36	33
309	36	33
310	36	33
311	36	33
312	36	33
313	36	33
314	36	33
315	36	33
316	36	32
317	36	32
318	37	32
319	37	32
320	37	32
321	37	32
322	37	32
323	37	32
324	37	31
325	37	31
326	37	31
327	38	31
328	38	31
329	38	31
330	38	31
331	38	31
332	38	30
333	38	30
334	38	30
335	38	30
336	39	30
337	39	30
338	39	30
339	39	30
340	39	29
341	39	29
342	39	29
343	39	29
344	39	29
345	39	29
346	40	29
347	40	29
348	40	28
349	40	28
350	40	28
351	40	28
352	40	28
353	40	28
354	40	28
355	41	28
356	41	27
357	41	27
358	41	27
359	41	27
360	41	27
361	41	27
362	41	27
363	41	27
364	41	27
365	42	26
366	42	26
367	42	26
368	42	26
369	42	26
370	42	26
371	42	26
372	42	26
373	42	25
374	43	25
375	43	25
376	43	25
377	43	25
378	43	25
379	43	25
380	43	25
381	43	24
382	43	24
383	43	24
384	43	24
385	44	24
386	44	24
387	44	24
388	44	24
389	44	23
390	44	23
391	44	23
392	44	23
393	44	23
394	45	23
395	45	23
396	45	23
397	45	23
398	45	22
399	45	22
400	45	22
401	45	22
402	45	22
403	46	22
404	46	22
405	46	22
406	46	22
407	46	21
408	46	21
409	46	21
410	46	21
411	46	21
412	47	21
413	47	21
414	47	21
415	47	20
416	47	20
417	47	20
418	47	20
419	48	20
420	48	20
421	48	20
422	48	20
423	48	20
424	48	20
425	48	19
426	48	19
427	48	19
428	48	19
429	49	19
430	49	19
431	49	19
432	49	19
433	49	18
434	49	18
435	49	18
436	49	18
437	49	18
438	50	18
439	50	18
440	50	18
441	50	18
442	50	17
443	50	17
444	50	17
445	51	17
446	51	17
447	51	17
448	51	17
449	51	17
450	51	17
451	51	16
452	51	16
453	51	16
454	52	16
455	52	16
456	52	16
457	52	16
458	52	16
459	52	16
460	52	15
461	52	15
462	52	15
463	53	15
464	53	15
465	53	15
466	53	15
467	53	15
468	53	14
469	53	14
470	53	14
471	53	14
472	53	14
473	54	14
474	54	14
475	54	14
476	54	14
477	54	13
478	54	13
479	54	13
480	54	13
481	54	13
482	54	13
483	55	13
484	55	13
485	55	12
486	55	12
487	55	12
488	55	12
489	55	12
490	55	12
491	55	12
492	56	12
493	56	12
494	56	11
495	56	11
496	56	11
497	56	11
498	56	11
499	56	11
500	56	11
501	56	11
502	57	11
503	57	10
504	57	10
505	57	10
506	57	10
507	57	10
508	57	10
509	57	10
510	57	10
511	57	9
512	58	9
513	58	9
514	58	9
515	58	9
516	58	9
517	58	9
518	58	9
519	58	9
520	58	8
521	59	8
522	59	8
523	59	8
524	59	8
525	59	8
526	59	8
527	59	8
528	59	8
529	59	7
530	59	7
531	60	7
532	60	7
533	60	7
534	60	7
535	60	7
536	60	7
537	60	7
538	60	6
539	61	6
540	61	6
541	61	6
542	62	6
543	62	6
544	62	6
545	62	6
546	62	6
547	62	5
548	62	5
549	62	5
550	62	5
551	62	5
552	63	5
553	63	5
554	63	5
555	63	5
556	63	4
557	63	4
558	63	4
559	63	4
560	63	4
561	63	4
562	64	4
563	64	4
564	64	3
565	64	3
566	64	3
567	64	3
568	64	3
569	64	3
570	64	3
571	64	3
572	65	3
573	65	2
574	65	2
575	65	2
576	65	2
577	65	2
578	65	2
579	66	2
580	66	2
581	66	2
582	66	1
583	66	1
584	66	1
585	66	1
586	67	1
587	67	1
588	67	1
589	67	1
590	67	1
591	67	0
592	67	0
593	67	0
594	67	0
595	67	0
596	68	0
597	68	0
598	68	0
599	68	0
